"nota","genotipo"
6,"(ZYXD295/ZFY5079)@@89@B-/UBTUE177ZL.2"
6,"(ZYXD295/ZFY5079)@@89@B-/WTP6741ZL.2"
5,"(ZYXD295/ZFY5079)@@89@B-/ZTU7026ZL.2"
3,"(ZYY6439/B6Y1F944)@@16@1-/UBTUE177ZL.2"
6,"(ZYY6439/B6Y1F944)@@16@1-/WTP6741ZL.2"
4,"(ZYY6439/B6Y1F944)@@16@1-1-B-/ZTU7026ZL.2"
3,"(ZYY6439/WYF6191)@1881@@1-2-/UBTUE177ZL.2"
7,"(ZYY6439/WYF6191)@1881@@1-2-/WTP6741ZL.2"
3,"(ZYY6439/WYF6191)@806@@B-1-/UBTUE177ZL.2"
2,"(ZYY6439/WYF6191)@806@@B-1-/WTP6741ZL.2"
4,"(ZYY6439/WYF6191)@806@@B-B-B-/B6T7T943ZS.2"
3,"(ZYY6439/WYF6191)@943@@/1ZRB84ZS.0"
3,"(ZYY6439/WYF6191)@943@@/WTP6741ZL.2"
4,"(ZYY6439/WYF6191)@943@@1-B-/B6T7T943ZS.2"
7,"1AEB02/WTP6741ZL.2"
5,"1AEB02/ZTU7026ZL.2"
4,"1EEB04/UBTTD400"
4,"1EEB04/UBTTD490"
4,"1EEB04/UBTTE410"
5,"1EEB04/UBTUD529"
5,"1EEB04/ZTU7013"
5,"1EEB04/ZTU7026ZL.2"
2,"1EEB17/4DEB01"
3,"1EEB17/B6T7T943ZS.2"
3,"1EEB17/B7T1C128ZS.1"
3,"1EEB17/PETTF126ZL.2"
3,"1EEB17/UBTTD400"
2,"1EEB17/WYY8370"
3,"1EEB23/ZTU7013"
4,"1EEB32/UBTTD400"
3,"1EEB32/UBTTD490"
4,"1EEB32/ZTU7013"
6,"1EEB52/UBTTD400"
7,"1EEB52/UBTTD490"
3,"1EEB52/UBTTE410"
4,"1EEB52/UBTUD529"
6,"1EEB52/ZTU7013"
4,"1EEB52/ZTU7026ZL.2"
2,"1EEB63/4DEB01"
5,"1EEB63/B6T7T943ZS.2"
3,"1EEB63/B7T1C128ZS.1"
2,"1EEB63/B7T7T812ZS.4"
3,"1EEB63/PETTF126ZL.2"
3,"1EEB63/UBTTD400"
3,"1EEB63/UBTTD490"
2,"1EEB63/UBTTE410"
2,"1EEB63/UBTUD529"
2,"1EEB63/UBTUE177ZL.2"
3,"1EEB63/WTP6741ZL.2"
3,"1EEB63/ZTU7013"
5,"1EEB72/UBTTD400"
5,"1EEB72/UBTTD490"
6,"1EEB72/UBTUD529"
6,"1EEB72/ZTU7013"
4,"1EEB88/UBTTD400"
6,"1EEB88/UBTTD490"
4,"1EEB88/UBTTE410"
3,"1EEB88/UBTUD529"
6,"1EEB88/ZTU7013"
