"Local","classe","Controles","Desvio"
"22WNUBYG418BU05","Baixa","T MT MS ",-13.419
"22WNUBYG418BU06","Baixa","T MT MS ",-13.419
"22WNUBYG418BU09","Baixa","T MT MS ",-4.172
"22WNUBYG418BU29","Baixa","T MT MS ",-13.419
"22WNUBYG418BU35","Baixa","T MT MS ",-13.419
"22WNUBYG418BU39","Baixa","T MT MS ",-13.419
"22WNUBYG418BU41","Baixa","T MT MS ",-13.419
"22WNUBYG419BU03","Baixa","T MT MS ",-13.419
"22WNUBYG419BU05","Baixa","T MT MS ",-13.419
"22WNUBYG419BU06","Baixa","T MT MS ",-13.419
"22WNUBYG419BU09","Baixa","T MT MS ",-19.512
"22WNUBYG419BU29","Baixa","T MT MS ",-13.419
"22WNUBYG419BU35","Baixa","T MT MS ",-13.419
"22WNUBYG419BU39","Baixa","T MT MS ",-13.419
"22WNUBYG419BU41","Baixa","T MT MS ",-13.419
"22WNUBYG420BU03","Baixa","T MT MS ",-13.419
"22WNUBYG420BU05","Baixa","T MT MS ",-13.419
"22WNUBYG420BU06","Baixa","T MT MS ",-13.419
"22WNUBYG420BU09","Baixa","T MT MS ",-4.172
"22WNUBYG420BU29","Baixa","T MT MS ",-13.419
"22WNUBYG420BU35","Baixa","T MT MS ",-13.419
"22WNUBYG420BU39","Baixa","T MT MS ",-13.419
"22WNUBYG420BU41","Baixa","T MT MS ",-13.419
"22WNUBYG501BU01","Baixa","T MT MS ",-7.479
"22WNUBYG501BU03","Baixa","T MT MS ",-13.392
"22WNUBYG501BU05","Baixa","T MT MS ",-13.162
"22WNUBYG501BU09","Baixa","T MT MS ",-11.274
"22WNUBYG501BU10","Baixa","T MT MS ",-13.367
"22WNUBYG501BU12","Baixa","T MT MS ",-10.609
"22WNUBYG501BU17","Baixa","T MT MS ",-8.151
"22WNUBYG501BU22","Alta","T MT MS ",2.579
"22WNUBYG501BU23","Baixa","T MT MS ",-11.945
"22WNUBYG501BU25","Baixa","T MT MS ",-8.494
"22WNUBYG501BU29","Baixa","T MT MS ",-10.599
"22WNUBYG501BU30","Baixa","T MT MS ",-4.172
"22WNUBYG501BU34","Baixa","T MT MS ",-13.104
"22WNUBYG501BU35","Baixa","T MT MS ",-14.102
"22WNUBYG501BU39","Baixa","T MT MS ",-13.419
"22WNUBYG501BU40","Baixa","T MT MS ",-19.512
"22WNUBYG501BU41","Baixa","T MT MS ",-19.146
