PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112XWV_MM,,UR271681737,2,90,24,8,90,AS1820PRO3,AS1820PRO3,AS1820PRO3,,22WNBPEYG6J1,,1,5,,,5,,,,,,,,,,,1,,,AS1820PRO3,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112897_MM,,UR271683357,1,9,5,32,867,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,SX8934ZS.0,60,,,,,,,,,,,,5,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112YG5_MM,,UR271683257,2,109,30,1,964,SYE9059ZS.0,NK525VIP3,NK525VIP3,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,SYE9059ZS.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112XXM_MM,,UR271683229,3,137,37,32,995,MG652PWU,MG652PWU,MG652PWU,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,MG652PWU,,,,,,,,,,,,,5,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YEK_MM,,UR271681798,1,29,12,16,29,SZE5130,SZE5130,SZE5130,,22WNBPEYG6J1,,1,5,,,4,,,,,,,,,,,2,,,SZE5130,60,,,,,,,,,,,,9,,,126,257,,,,,10,-48.15128,-10.01226,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112YFB_MM,,UR271683246,3,120,32,25,975,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,SXC2251ZL.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112XWZ_MM,,UR271681734,2,93,25,17,93,AS1868PRO3,AS1868PRO3,AS1868PRO3,,22WNBPEYG6J1,,2,5,,,3,,,,,,,,,,,2,,,AS1868PRO3,,,,,,,,,,,,,5,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YFP_MM,,UR271681712,3,115,29,33,115,SXF258WT.0,NS95VIP2,NS95VIP2,,22WNBPEYG6J1,,2,5,,,3,,,,,,,,,,,1,,,SXF258WT.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112YFG_MM,,UR271683315,1,51,15,16,905,SXD218ZS.0,NS80VIP3,NS80VIP3,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,SXD218ZS.0,51,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112YGE_MM,,UR271683255,2,111,30,17,966,SZF558WT.0,NS91VIP2,NS91VIP2,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,SZF558WT.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112YF4_MM,,UR271683219,3,147,39,16,1001,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,SX8934ZS.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YG9_MM,,UR271681814,1,13,9,17,13,SZD5031ZL.0,SZD5031ZL.0,SZD5031ZL.0,,22WNBPEYG6J1,,1,5,,,4,,,,,,,,,,,1,,,SZD5031ZL.0,55,,,,,,,,,,,,9,,,141,263,,,,,10,-48.15128,-10.01226,
