"nota","genotipo"
2.4,"NK520VIP3"
2.33333333333333,"NK522VIP3"
2.85714285714286,"NK525VIP3"
2,"NS45VIP3"
1.75,"NS50PRO2"
2.66666666666667,"NS65VIP3"
3,"NS73VIP3"
2.6,"NS75VIP3"
2,"NS80VIP3"
2,"NS88VIP3"
1.5,"NS91VIP2"
2,"NS91VIP3"
2.5,"NS95VIP2"
2.125,"P3707VYH"
2.33333333333333,"P3845VYHR"
2.8,"P3858PWU"
2,"P3898"
2,"RTT7404/2DEB35ZL.3"
2,"RTT7404/2ZRB29ZS.0"
2,"SU8818ZL"
2.6,"SUPREMOVIP3"
2.33333333333333,"SUPREMOWT.2"
2,"SV9036ZL"
2.66666666666667,"SW8014ZS.2"
1.66666666666667,"SXB178ZL.0"
2,"SXC1510ZS.0"
1.5,"SXC1531WT.0"
1,"SXC1531ZL.0"
2.4,"SXC1641ZL.0"
1.5,"SXC2241VIP3"
2,"SXC2251TG.0"
2.25,"SXC2251ZL.0"
2.66666666666667,"SXC2320VIP3"
2.33333333333333,"SXD2350ZS.0"
3.5,"SXD2621WT.0"
3,"SXD2621ZL.0"
2,"SXE3279ZL.0"
2,"SYA7470ZS.0"
2.25,"SYA7560ZS.0"
2,"SYB7361ZL.0"
2,"SYB7381ZL.0"
3,"SYC7131ZL.0"
2.33333333333333,"SYC7161WT.0"
2.4,"SYC7161ZL.0"
1.5,"SYC7209ZS.0"
2.6,"SYC7221ZL.0"
2,"SYC7351ZL.0"
2,"SYC7441ZL.0"
2.5,"SZC4141ZL.0"
2,"SZD5031ZL.0"
2.16666666666667,"SZD5211ZL.0"
1,"SZD537ZL.0"
2,"SZD6142ZL.0"
2,"SZE6111TG.0"
2,"SZE6111VIP3"
3.25,"SZF6101VIP3"
1.5,"SZF6101WT.0"
2,"UBYXE538/2DEB35ZL.3"
2,"UBYYD677/ZTU7026ZL.2"
5,"UBYYE349/2BHB53ZL.3"
2,"UBYYE349/2DEB89ZL.1"
2,"WTP6741ZL.2/1GEB45"
3,"WTP6741ZL.2/1GEB46"
2,"WTP6741ZL.2/8DTB18"
2,"WTP6741ZL.2/8FTB47"
2,"WTP6741ZL.2/8FTB73"
2.5,"WTP6741ZL.2/8FTB79"
3.5,"WTP6741ZL.2/8GTB45"
3.5,"WTP6741ZL.2/B6T7T943ZS.2//1FTB72"
3,"WTP6741ZL.2/B6T7T943ZS.2//8CEB01"
3,"WTP6741ZL.2/B6T7T943ZS.2//WYF6150"
2,"WTP6741ZL.2/MTYFD277"
2.5,"WTP6741ZL.2/MTYXA262"
3,"WTP6741ZL.2/MTYYF558"
3,"WTP6741ZL.2/MTYYF578"
2,"WTP6741ZL.2/MTYYF658"
2,"WTX7330/MTTTC278ZL.0"
2,"WXXC424/2DEB35ZL.3"
2,"WYY8370/2DEB35ZL.3"
2,"XFY8913/MTTTC278ZL.0"
2,"XFY8913/MTTTE227ZL.0"
2,"ZTTG285/2DEB35ZL.3"
2,"ZTTG315/2DEB89ZL.1"
3.5,"ZTU7026GR.0/2GHB05"
4,"ZTU7026GR.0/8CEB47"
4.5,"ZTU7026ZL.2/2GHB05"
1,"ZTU7026ZL.2/8CEB47"
2.5,"ZTU7026ZL.2/ZTU7013ZL.0//MTYFD277"
