"nota","genotipo"
2,"1ARB88/8AHB64ZS.0"
2,"1EEB17/2DEB35ZL.3"
2,"1EEB17/MTTTE227ZL.0"
2,"1EEB17/ZTU7026ZL.2"
2,"1EEB23/2DEB06ZL.1"
2,"1EEB63/2DEB89ZL.1"
2,"1EEB63/MTTTE227ZL.0"
2,"1FTB73/MTTTC278ZL.0"
2,"1GTB09/MTTTE227ZL.0"
2,"1XHB39/2DEB00ZL.1"
2,"1XHB39/2DEB06ZL.1"
2,"1XHB39/2DEB89ZL.1"
2,"1XHB39/ACTTC538ZL.0"
2,"1XHB39/WTP6741ZL.2"
2,"1YHB35/2DEB35ZL.3"
1.66666666666667,"1YRB77ZS.0/MTYFD277"
2,"1ZDB84/2DEB89ZL.1"
2,"1ZRB84/2DEB00ZL.1"
2.5,"1ZRB84ZS.0/2GHB05"
2.33333333333333,"1ZRB84ZS.0/WTP6741"
2,"2AHB11/2DEB35ZL.3"
2,"2AHB11/MTTTC278ZL.0"
2,"2AHB11/WTP6741ZL.2"
2,"2AHB26/2DEB89ZL.1"
2,"2AHB26ZS.0/1FEB12"
2.33333333333333,"2AHB26ZS.0/MTYFD277"
1.66666666666667,"2AHB26ZS.0/WTP6741"
2,"2AHB60/WTP6741ZL.2"
2,"2BHB36/2DEB35ZL.3"
2,"2BHB36/2ZRB29ZS.0"
2,"2BHB53/2DEB35ZL.3"
2,"2BHB53ZL.1/8FTB79"
2,"2BHB53ZL.3/4DEB01"
2.5,"2BHB53ZL.3/WTP6741"
2,"2CHB38/MTTTC278ZL.0"
2,"2DEB00ZL.1/8FTB47"
3,"2DEB00ZL.1/8FTB79"
2,"2DEB06/ACTTC508ZS.0"
2,"2DEB06ZL.1/1GTB83"
2,"2DEB06ZL.1/2DEB06ZL.0//8FTB79"
4.5,"2DEB06ZL.1/8FTB43"
2,"2DEB33/2ZRB29ZS.0"
2,"2DEB33/8AHB64ZS.0"
2,"2DEB35/ACTTC368ZS.0"
2,"2DEB35/MTTTC278ZL.0"
2,"2DEB35/YTT7175ZL.0"
2,"2DEB35ZL.1/2DEB35ZL.0//8FTB79"
2,"2DEB35ZL.1/8FTB79"
2.5,"2DEB35ZL.3/1GEB46"
2,"2DEB35ZL.3/1GTB83"
2,"2DEB35ZL.3/2DEB35ZL.1//8FTB79"
2,"2DEB35ZL.3/8CEB45"
2.5,"2DEB35ZL.3/8FTB43"
2.5,"2DEB35ZL.3/8FTB79"
3.25,"2DEB35ZL.3/WTP6741"
2,"2DEB72/1ZRB84ZS.0"
2,"2DEB89/2ZRB29ZS.0"
2,"2DEB89/ZTU7026ZL.2"
2,"2FEB21/MTTTC278ZL.0"
2,"2FEB55/2DEB35ZL.3"
2,"2GEB04/2DEB00ZL.1"
2,"2GEB05/2DEB00ZL.1"
2,"2GEB63/WTP6741ZL.2"
2,"2GHB00/2DEB35ZL.3"
2,"2GHB15/2DEB06ZL.1"
2,"2GHB15/2DEB35ZL.3"
2,"2GTB03/ACTTC538ZL.0"
2,"2GTB03/MTTTE227ZL.0"
2,"2GTB03/WTP6741ZL.2"
2,"2GTB19/WTP6741ZL.2"
2,"2YHB17/2DEB35ZL.3"
2.5,"2ZRB29ZS.0/1GEB45"
2.33333333333333,"2ZRB29ZS.0/MTYYF648"
2.66666666666667,"2ZRB29ZS.0/MTYYF668"
2,"8AHB14/MTTTC278ZL.0"
2,"8AHB18/1ZRB84ZS.0"
2,"8AHB18/2DEB35ZL.3"
2,"8AHB18/MTTTC278ZL.0"
2,"8AHB18/WTP6741ZL.2"
2,"8AHB64ZS.0/MTXXE222"
2,"8AHB69/1ZRB84ZS.0"
2,"8BHB91/2DEB35ZL.3"
3,"8CEB17ZS.0/2BHB49"
2,"8CEB17ZS.0/7FEB67"
2,"8CEB45/2DEB89ZL.1"
3,"8CEB54/1ZRB84ZS.0"
2,"8DEB49/2DEB35ZL.3"
2,"8DEB49/MTTTE227ZL.0"
2,"8DRB80/2DEB35ZL.3"
2,"8FTB47/MTTTE227ZL.0"
2,"8XHB78/MTTTE227ZL.0"
2,"ACFXB447/1ZRB84ZS.0"
2,"ACYXD467/2DEB35ZL.3"
2,"ACYYA996/2DEB35ZL.3"
2,"ACYYE998/2DEB35ZL.3"
2.66666666666667,"AG8700PRO4"
1.90909090909091,"AS1820PRO3"
2,"AS1822PRO3"
2.4,"B2612PWU"
2.5,"B6T7T943ZS.2/B7T1C128ZS.1//UBFXD557"
2.25,"B7T7T812ZS.4/1YHB35"
2.5,"B7T7T812ZS.4/2GHB05"
2,"B7T7T812ZS.4/8CEB45"
2,"BCTT241/1ZRB84ZS.0"
2,"D8BB33/2ZRB29ZS.0"
2,"D8EB06/2ZRB29ZS.0"
2,"D8EB30/2DEB35ZL.3"
2.18181818181818,"DKB255PRO3"
2.08333333333333,"DKB360PRO3"
2.66666666666667,"DKB390PRO4"
2.2,"FormulaVIP2"
2,"K9606TG"
2.33333333333333,"K9606VIP3"
2.125,"MG580PWU"
2.1,"MG711PWU"
2,"MT2YRB56ZL.0/8FTB43"
2,"MTFYA076/2DEB35ZL.3"
2,"MTTTD114ZL.0/2DEB35"
2,"MTTTD264/2AHB26ZS.0"
2,"MTTTE104ZL.0/2DEB35"
2,"MTTTE214/2BHB53ZL.3"
2,"MTTTE224/WOY6300"
2,"MTTTE234/2DEB35ZL.3"
2,"MTTTE294/2DEB00ZL.1"
2,"MTTTE294/2DEB35ZL.3"
2,"MTTTE314/2DEB06ZL.1"
2,"MTTTE314/2DEB35ZL.3"
2,"MTTTF154ZL.0/2DEB35"
2,"MTTTF154ZL.0/MTYYF578"
2,"MTTTF284/2DEB06ZL.1"
2,"MTTTF284/2DEB35ZL.3"
2,"MTTTG254/2BHB53ZL.3"
2,"MTUU800ZL.2/WTP6741"
2,"MTXXA212/2DEB00ZL.1"
2,"MTXXC222/MTTTC278ZL.0"
2,"MTXXC312/2ZRB29ZS.0"
2,"MTXXD102/2ZRB29ZS.0"
2,"MTXXD102/MTTTB016ZL.0"
2,"MTXXD232/2ZRB29ZS.0"
2,"MTXXE172/MTTTE227ZL.0"
2,"MTXXE192/MTTTE227ZL.0"
2,"MTXXE222/1ZRB84ZS.0"
2,"MTXXE222/2DEB35ZL.3"
2,"MTXXE242/1ZRB84ZS.0"
2,"MTXXF212/MTTTB016ZL.0"
2,"MTXXF212/MTTTE227ZL.0"
2,"MTXXF262/2ZRB29ZS.0"
2,"MTXXF262/MTTTB016ZL.0"
2,"MTXXG182/MTTTE227ZL.0"
2,"MTYFD277/2BHB53ZL.3"
2,"MTYFD399/2DEB35ZL.3"
2,"MTYFD399/MTTTC278ZL.0"
2,"MTYXA262/2DEB06ZL.1"
2,"MTYXA262/MTTTC278ZL.0"
2,"MTYXA272/ZTU7026ZL.2"
2,"MTYXD252/8AHB64ZS.0"
2,"MTYXD282/1ZRB84ZS.0"
2,"MTYYB123/2AHB26ZS.0"
2,"MTYYB143/1ZRB84ZS.0"
2,"MTYYC242/2DEB00ZL.1"
2,"MTYYC242/2DEB06ZL.1"
2,"MTYYC242/8AHB64ZS.0"
2,"MTYYE528/ACTTC538ZL.0"
2,"MTYYE528/MTTTE227ZL.0"
2,"MTYYE698/MTTTE227ZL.0"
2,"MTYYE723/MTTTC278ZL.0"
2,"MTYYF131/2DEB89ZL.1"
2,"MTYYF518/2DEB35ZL.3"
2,"MTYYF558/8AHB64ZS.0"
2,"MTYYF638/MTTTE227ZL.0"
2,"MTYYF658/2DEB35ZL.3"
2,"MTYYF658/MTTTC278ZL.0"
2,"MTYYF678/2DEB35ZL.3"
2,"MTYYG121/2DEB00ZL.1"
2,"MTYYG121/2DEB35ZL.3"
2,"MTYYG141/2DEB35ZL.3"
2.5,"MTYYG538/2ZRB29ZS.0"
2,"MTYYG718/MTTTE227ZL.0"
2.38888888888889,"NK455VIP3"
2.33333333333333,"NK467VIP3"
2.42857142857143,"NK505VIP3"
2.25,"NK506VIP3"
2.22222222222222,"NK508"
2.33333333333333,"NK511VIP3"
