PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,BreedingStage,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,T,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
BRTR BL10,22WNMTYGLVGBL10,PLC4,BL10,LVG,L,21ALL112YEP_MM,,UR272564524,1,1160,25,32,160,NK455VIP3,NK455VIP3,NK455VIP3,,22WNMTYGLVG,,4.0,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL01,22WNMTYG457BL01,PLC4,BL01,457,4,21ALL112XXU_MM,,UR272502020,1,1160,54,20,160,P3845VYHR,P3845VYHR,P3845VYHR,,22WNMTYG457,,3.0,,,,,,,,,,,,,,,,,,,P3845VYHR,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL01,22WNMTYGLVGBL01,PLC4,BL01,LVG,L,22AC653834,,UR272563195,1,1160,25,32,160,ZYFG365/WTP6741ZL.2,SXD2002ZL.0,SXD2002ZL.0,,22WNMTYGLVG,,6.0,,,,,,,,,,,,,,,,,,,SXD2002ZL.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL18,22WNMTYG457BL18,PLC4,BL18,457,4,21ALL112XXV_MM,,UR272495881,1,1161,54,16,323,P3858PWU,P3858PWU,P3858PWU,,22WNMTYG457,,,,,,,,,,,,,,,,,,,,,P3858PWU,,,,,,,,,,,,,1,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL10,22WNMTYG457BL10,PLC4,BL10,457,4,21ALL112XXV_MM,,UR272493715,1,1161,52,65,161,P3858PWU,P3858PWU,P3858PWU,,22WNMTYG457,,5.0,,,,,,1,,,,,,,,,,,,,P3858PWU,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL28,22WNMTYGLVGBL28,PLC4,BL28,LVG,L,21AC100046,,UR272563368,1,1161,25,28,161,SXD2270ZL.0,SXD2270ZL.0,SXD2270ZL.0,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SXD2270ZL.0,26,,,,,,,,,,,,1,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL28,22WNMTYG457BL28,PLC4,BL28,457,4,21ALL112XXV_MM,,UR272504332,1,1161,54,16,161,P3858PWU,P3858PWU,P3858PWU,,22WNMTYG457,,,,,,,,,,,,,,,,,,,,,P3858PWU,24,,,,,,,,,,,,1,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL12,22WNMTYGLVGBL12,PLC4,BL12,LVG,L,21AC100046,,UR272565351,1,1161,18,1,161,SXD2270ZL.0,SXD2270ZL.0,SXD2270ZL.0,,22WNMTYGLVG,4.0000,5.0,,,,,,,,,,,,,,,,,,,SXD2270ZL.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL18,22WNMTYGLVGBL18,PLC4,BL18,LVG,L,21ALL112YEP_MM,,UR272562519,1,1161,25,28,161,NK455VIP3,NK455VIP3,NK455VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL10,22WNMTYGLVGBL10,PLC4,BL10,LVG,L,21ALL112YEP_MM,,UR272564523,1,1161,25,28,161,NK455VIP3,NK455VIP3,NK455VIP3,,22WNMTYGLVG,,5.0,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL01,22WNMTYG457BL01,PLC4,BL01,457,4,21ALL112XXV_MM,,UR272502019,1,1161,54,16,161,P3858PWU,P3858PWU,P3858PWU,,22WNMTYG457,,4.0,,,,,,,,,,,,,,,,,,,P3858PWU,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL01,22WNMTYGLVGBL01,PLC4,BL01,LVG,L,21AC100046,,UR272563194,1,1161,25,28,161,SXD2270ZL.0,SXD2270ZL.0,SXD2270ZL.0,,22WNMTYGLVG,,5.0,,,,,,,,,,,,,,,,,,,SXD2270ZL.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
