"genotipo","local","blueN"
"SZD6162ZL.0","22WNUBYG501BU22",4.46913580246914
"SZD6202ZL.0","22WNUBYG501BU22",4.46913580246914
"SZE6102ZL.0","22WNUBYG501BU22",4.46913580246914
"SZE6172ZL.0","22WNUBYG501BU22",4.46913580246914
"SZE6192ZL.0","22WNUBYG501BU22",4.46913580246914
"SZF6152ZL.0","22WNUBYG501BU22",4.46913580246914
"SZF6212ZL.0","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/D8BB55","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/PEYFB129","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/PEYOB268","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/PEYXD248","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/PEYYB479","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/UBYXD730","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/UBYXE419","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/UBYXG377","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/UBYYD390","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/UBYYE190","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/UBYYE210","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/UBYYF340","22WNUBYG501BU22",4.46913580246914
"WTP6741ZL.2/WYXD534","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/1FTB72","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/2SHB03","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/8DTB18","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/9DRB50","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/ACYFB838","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/PEFXD266","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/PEYFC319","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/PEYYC439","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/UBYFF378","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/UBYFF788","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/UBYYD390","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/UBYYD760","22WNUBYG501BU22",4.46913580246914
"ZTU7026ZL.2/WYF6091","22WNUBYG501BU22",4.46913580246914
