#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK,PSS:VSCIN
,BRTR BL25,22WNBPEYG6I1BL25,BL25,6I1,21ALL112YFB_MM,,UR271372402,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251ZL.0,57,6,8782.20,5.15,32.05,,10,32.05,17.05,91.05,17.05,,5,,,,,,,,,9,-58.08683000,-12.80349000,,
,BRTR BL28,22WNBPEYG6I1BL28,BL28,6I1,21ALL112YFB_MM,,UR271366299,1,1002,2,41,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,,,,,,,2,2,,,,,,,,,,1.0000,,,SXC2251ZL.0,49,20,8996.93,4.81,33.50,,42,33.50,18.70,95.17,18.70,,1,,,,,60,4/9/2022,4/9/2022,60,9,-55.17203000,-15.33561000,,
,BRTR BL32,22WNBPEYG6I1BL32,BL32,6I1,21ALL112YFB_MM,,UR271344940,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,1.0000,1.0,,,,,2,,,,,,,,,,,,,,SXC2251ZL.0,67,,,,,,,,,,,,,,,,,,,,,9,-55.40972000,-15.87111000,,
,BRTR BL39,22WNBPEYG6I1BL39,BL39,6I1,21ALL112YFB_MM,,UR271347726,1,1002,2,9,29,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,1.0000,,,SXC2251ZL.0,61,20,5414.60,5.50,18.18,,33,18.18,9.84,51.65,9.84,,5,,,153,264,,,,,9,-52.17083000,-13.60493000,,
,BRTR BL40,22WNBPEYG6I1BL40,BL40,6I1,21ALL112YFB_MM,,UR271354183,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,1.0000,,,SXC2251ZL.0,68,,8403.74,4.62,31.10,,,31.10,18.20,88.35,18.20,,1,,,,,,,,,9,-51.75430000,-12.42000000,,
,BRTR BL48,22WNBPEYG6I1BL48,BL48,6I1,21ALL112YFB_MM,,UR271375862,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251ZL.0,67,,,,16.84,,,,,,9.88,,9,,,,,,,,,9,-52.21480000,-12.64750000,,
,BRTR BL01,22WNBPEYG6I1BL01,BL01,6I1,21ALL112YEM_MM,,UR271356838,1,1003,2,49,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,,5.0,,,,,,,,,,,,,,,,,,,FORMULAWT.0,51,7,,,28.25,,,,,,14.25,,9,,,,,,,,,9,-55.50362000,-11.69889000,,
,BRTR BL06,22WNBPEYG6I1BL06,BL06,6I1,21ALL112YEM_MM,,UR271352723,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,1.0000,3.0,,,,,,,,,,,,,,,,,,,FORMULAWT.0,,5,9188.69,4.59,34.77,,,34.77,20.00,98.78,20.00,,5,,,,,,,,,9,-55.84350000,-12.81547000,,
,BRTR BL10,22WNBPEYG6I1BL10,BL10,6I1,21ALL112YEM_MM,,UR271344774,1,1003,2,49,30,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,,3.0,,,,,,,,,,,,,,,,,,,FORMULAWT.0,55,,,,22.75,,,,,,14.30,,9,,,,,,3/19/2022,3/17/2022,,9,-55.94174000,-12.98987000,,
,BRTR BL12,22WNBPEYG6I1BL12,BL12,6I1,21ALL112YEM_MM,,UR271374449,1,1003,2,17,30,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,1.0000,1.0,,,,,,1,,,,,,,,,,,,,FORMULAWT.0,61,,7018.52,4.63,25.04,,,25.04,15.15,71.14,15.15,,1,,,95,220,,,,,9,-56.14570000,-13.31910000,,
,BRTR BL15,22WNBPEYG6I1BL15,BL15,6I1,21ALL112YEM_MM,,UR271366463,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,5.0000,4.0,,,,,,,,,,,,,,,,3.0000,2,3.2,FORMULAWT.0,63,9,9287.42,5.28,34.12,,15,34.12,17.60,96.93,17.60,,5,,,,,,,,,9,-56.19940000,-12.85330000,,
,BRTR BL16,22WNBPEYG6I1BL16,BL16,6I1,21ALL112YEM_MM,,UR271346178,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,4.0000,2.0,,,,,,,,,,,,,,,,,,,FORMULAWT.0,57,,8256.72,4.75,30.26,,,30.26,17.40,85.97,17.40,,1,,,,,,,,,9,-55.92769000,-13.23565000,,
,BRTR BL18,22WNBPEYG6I1BL18,BL18,6I1,21ALL112YEM_MM,,UR271367099,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,4.0000,,,,,,,,,,,,,,,,,,,,FORMULAWT.0,55,,8559.87,4.91,31.39,,,31.39,17.45,89.18,17.45,,1,,,89,215,,,,,9,-58.51884000,-13.59584000,,
,BRTR BL20,22WNBPEYG6I1BL20,BL20,6I1,21ALL112YEM_MM,,UR271353955,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,3.0000,,,,,,,,,,,,,,,,,,,,FORMULAWT.0,64,7,,,32.31,,,,,,19.65,,5,,,,,,4/17/2022,4/15/2022,,9,-59.27241000,-13.73068000,,
,BRTR BL21,22WNBPEYG6I1BL21,BL21,6I1,21ALL112YEM_MM,,UR271346796,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,4.0000,4.0,,,,,,,,,,,,,,,,2.0000,,,FORMULAWT.0,53,8,7221.31,3.53,27.48,,15,27.48,20.45,78.07,20.45,,1,,,80,205,,,,,9,-57.99279000,-13.17798000,,
,BRTR BL25,22WNBPEYG6I1BL25,BL25,6I1,21ALL112YEM_MM,,UR271372401,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,3.0000,,,,,,,,,,,,,,,,,,,,FORMULAWT.0,51,6,7830.31,4.15,29.21,,11,29.21,18.85,82.98,18.85,,1,,,,,,,,,9,-58.08683000,-12.80349000,,
,BRTR BL28,22WNBPEYG6I1BL28,BL28,6I1,21ALL112YEM_MM,,UR271366298,1,1003,2,49,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,,3.0,,,,,,4,,,,,,,,,,3.0000,,,FORMULAWT.0,47,9,8886.87,4.42,33.67,,18,33.67,20.10,95.65,20.10,,1,,,,,57,4/6/2022,4/6/2022,57,9,-55.17203000,-15.33561000,,
,BRTR BL32,22WNBPEYG6I1BL32,BL32,6I1,21ALL112YEM_MM,,UR271344939,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,1.0000,2.0,,,,,2,,,,,,,,,,,,,,FORMULAWT.0,52,,,,,,,,,,,,,,,,,,,,,9,-55.40972000,-15.87111000,,
,BRTR BL39,22WNBPEYG6I1BL39,BL39,6I1,21ALL112YEM_MM,,UR271347725,1,1003,2,17,30,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,3.0000,,,,,,,,,,,,,,,,,1.0000,,,FORMULAWT.0,43,,,,,,,,,,,,9,,,105,190,,,,,9,-52.17083000,-13.60493000,,
,BRTR BL40,22WNBPEYG6I1BL40,BL40,6I1,21ALL112YEM_MM,,UR271354182,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,5.0000,,,,,,,,,,,,,,,,,1.0000,,,FORMULAWT.0,51,,,,,,,,,,,,5,,,,,,,,,9,-51.75430000,-12.42000000,,
,BRTR BL48,22WNBPEYG6I1BL48,BL48,6I1,21ALL112YEM_MM,,UR271375861,1,1003,2,17,3,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNBPEYG6I1,4.0000,,,,,,,,,,,,,,,,,,,,FORMULAWT.0,67,,4068.63,3.35,14.02,,,14.02,12.15,39.83,12.15,,5,,,,,,,,,9,-52.21480000,-12.64750000,,
,BRTR BL01,22WNBPEYG6I1BL01,BL01,6I1,21ALL112YFL_MM,,UR271356837,1,1004,2,57,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,,3.0,,,,,,,,,,,,,,,,,,,SXD3239ZL.0,59,10,10991.75,7.55,38.94,,17,38.94,14.55,110.63,14.55,,1,,,,,,,,,9,-55.50362000,-11.69889000,,
,BRTR BL06,22WNBPEYG6I1BL06,BL06,6I1,21ALL112YEP_MM,,UR271352722,1,1004,2,25,4,NK455VIP3,NK455VIP3,NK455VIP3,,22WNBPEYG6I1,,,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,47.02,,,47.02,20.55,,20.55,,5,,,,,,,,,9,-55.84350000,-12.81547000,,
,BRTR BL10,22WNBPEYG6I1BL10,BL10,6I1,21ALL112YEP_MM,,UR271344773,1,1004,2,57,31,NK455VIP3,NK455VIP3,NK455VIP3,,22WNBPEYG6I1,,3.0,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,32.54,,,32.54,13.95,,13.95,,1,,,,,,3/17/2022,3/16/2022,,9,-55.94174000,-12.98987000,,
,BRTR BL12,22WNBPEYG6I1BL12,BL12,6I1,21ALL112YFL_MM,,UR271374448,1,1004,2,25,31,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,1.0000,1.0,,,,,,1,,,,,,,,,,,,,SXD3239ZL.0,59,,6195.83,4.16,22.04,,,22.04,14.90,62.61,14.90,,1,,,135,240,,,,,9,-56.14570000,-13.31910000,,
,BRTR BL15,22WNBPEYG6I1BL15,BL15,6I1,21ALL112YFL_MM,,UR271366462,1,1004,2,25,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,2.0000,2.0,,,,,,,,,,,,,,,,1.0000,,,SXD3239ZL.0,66,6,10912.26,6.51,39.68,,9,39.68,16.75,112.73,16.75,,5,,,,,,,,,9,-56.19940000,-12.85330000,,
,BRTR BL16,22WNBPEYG6I1BL16,BL16,6I1,21ALL112YFL_MM,,UR271346177,1,1004,2,25,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXD3239ZL.0,68,,9605.14,5.68,34.99,,,34.99,16.90,99.40,16.90,,1,,,,,,,,,9,-55.92769000,-13.23565000,,
,BRTR BL18,22WNBPEYG6I1BL18,BL18,6I1,21ALL112YEP_MM,,UR271367098,1,1004,2,25,4,NK455VIP3,NK455VIP3,NK455VIP3,,22WNBPEYG6I1,,,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,34.27,,,34.27,16.30,,16.30,,1,,,,,,,,,9,-58.51884000,-13.59584000,,
,BRTR BL20,22WNBPEYG6I1BL20,BL20,6I1,21ALL112YFL_MM,,UR271353954,1,1004,2,25,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXD3239ZL.0,60,6,,,36.22,,,,,,21.10,,1,,,,,,4/16/2022,4/14/2022,,9,-59.27241000,-13.73068000,,
,BRTR BL21,22WNBPEYG6I1BL21,BL21,6I1,21ALL112YFL_MM,,UR271346795,1,1004,2,25,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,2.0000,1.0,,,,,,,,,,,,,,,,1.0000,,,SXD3239ZL.0,58,7,6613.83,3.22,25.20,,12,25.20,20.55,71.59,20.55,,5,,,115,255,,,,,9,-57.99279000,-13.17798000,,
,BRTR BL25,22WNBPEYG6I1BL25,BL25,6I1,21ALL112YFL_MM,,UR271372400,1,1004,2,25,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,1.0000,,,,,,,,,,,,,,,,,,,,SXD3239ZL.0,57,6,7272.28,3.61,27.57,,10,27.57,20.15,78.32,20.15,,5,,,,,,,,,9,-58.08683000,-12.80349000,,
,BRTR BL28,22WNBPEYG6I1BL28,BL28,6I1,21ALL112YEP_MM,,UR271366297,1,1004,2,57,4,NK455VIP3,NK455VIP3,NK455VIP3,,22WNBPEYG6I1,,2.0,,,,,,3,,,,,,,,,,,,,SX6665ZS.0,61,10,,,34.98,,,34.98,18.45,,18.45,,1,,,,,,4/6/2022,4/6/2022,,9,-55.17203000,-15.33561000,,
,BRTR BL32,22WNBPEYG6I1BL32,BL32,6I1,21ALL112YFL_MM,,UR271344938,1,1004,2,25,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,1.0000,1.0,,,,,2,,,,,,,,,,,,,,SXD3239ZL.0,58,,,,,,,,,,,,,,,,,,,,,9,-55.40972000,-15.87111000,,
,BRTR BL39,22WNBPEYG6I1BL39,BL39,6I1,21ALL112YFL_MM,,UR271347724,1,1004,2,25,31,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,3.0000,,,,,,,,,,,,,,,,,1.0000,,,SXD3239ZL.0,59,24,4399.51,3.73,15.10,,41,15.10,11.80,42.90,11.80,,1,,,103,276,,,,,9,-52.17083000,-13.60493000,,
,BRTR BL40,22WNBPEYG6I1BL40,BL40,6I1,21ALL112YFL_MM,,UR271354181,1,1004,2,25,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,1.0000,,,,,,,,,,,,,,,,,1.0000,,,SXD3239ZL.0,55,,6768.68,3.29,25.79,,,25.79,20.55,73.27,20.55,,5,,,,,,,,,9,-51.75430000,-12.42000000,,
,BRTR BL48,22WNBPEYG6I1BL48,BL48,6I1,21ALL112YFL_MM,,UR271375860,1,1004,2,25,4,SXD3239ZL.0,NK467VIP3,NK467VIP3,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXD3239ZL.0,59,,3630.26,2.71,12.69,,,12.69,13.40,36.05,13.40,,1,,,,,,,,,9,-52.21480000,-12.64750000,,
,BRTR BL01,22WNBPEYG6I1BL01,BL01,6I1,21ALL112YEP_MM,,UR271356836,1,1005,2,65,5,NK455VIP3,NK455VIP3,NK455VIP3,,22WNBPEYG6I1,,4.0,,,,,,,,,,,,,,,,,,,SX6665ZS.0,60,13,11753.52,8.13,41.59,,21,41.59,14.45,118.15,14.45,,1,,,,,,,,,9,-55.50362000,-11.69889000,,
