#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK,PSS:VSCIN
,BRTR BL01,22WNBPEYG6I1BL01,BL01,6I1,21ALL112YFA_MM,,UR271356840,1,1001,2,33,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,,4.0,,,,,,,,,,,,,,,,,,,SXC2251TG.0,65,9,9662.19,6.57,34.29,,14,34.29,14.70,97.41,14.70,,1,,,,,,,,,9,-55.50362000,-11.69889000,,
,BRTR BL06,22WNBPEYG6I1BL06,BL06,6I1,21ALL112YFA_MM,,UR271352725,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,1.0000,1.0,,,,,,,,,,,,,,,,,,,SXC2251TG.0,,7,11354.50,5.91,42.54,,,42.54,19.20,120.85,19.20,,1,,,,,,,,,9,-55.84350000,-12.81547000,,
,BRTR BL10,22WNBPEYG6I1BL10,BL10,6I1,21ALL112YFA_MM,,UR271344776,1,1001,2,33,28,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,,2.0,,,,,,,,,,,,,,,,,,,SXC2251TG.0,70,,8691.58,6.16,30.63,,,30.63,14.10,87.02,14.10,,1,,,,,57,3/21/2022,3/22/2022,56,9,-55.94174000,-12.98987000,,
,BRTR BL12,22WNBPEYG6I1BL12,BL12,6I1,21ALL112YFA_MM,,UR271374451,1,1001,2,1,28,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,1.0000,2.0,,,,,,1,,,,,,,,,,,,,SXC2251TG.0,66,,,,,,,,,,,,1,,,120,230,,,,,9,-56.14570000,-13.31910000,,
,BRTR BL15,22WNBPEYG6I1BL15,BL15,6I1,21ALL112YFA_MM,,UR271366465,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,1.0,,,,,,,,,,,,,,,,1.0000,,,SXC2251TG.0,61,8,10667.30,6.48,38.65,,13,38.65,16.45,109.80,16.45,,1,,,,,,,,,9,-56.19940000,-12.85330000,,
,BRTR BL16,22WNBPEYG6I1BL16,BL16,6I1,21ALL112YFA_MM,,UR271346180,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251TG.0,65,,,,30.03,,,,,,16.05,,9,,,,,,,,,9,-55.92769000,-13.23565000,,
,BRTR BL18,22WNBPEYG6I1BL18,BL18,6I1,21ALL112YFA_MM,,UR271367101,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251TG.0,70,,9213.78,5.22,33.87,,,33.87,17.65,96.22,17.65,,1,,,110,220,,,,,9,-58.51884000,-13.59584000,,
,BRTR BL20,22WNBPEYG6I1BL20,BL20,6I1,21ALL112YFA_MM,,UR271353957,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251TG.0,68,8,,,30.65,,,,,,20.05,,1,,,,,,4/18/2022,4/16/2022,,9,-59.27241000,-13.73068000,,
,BRTR BL21,22WNBPEYG6I1BL21,BL21,6I1,21ALL112YFA_MM,,UR271346798,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,1.0,,,,,,,,,,,,,,,,2.0000,,,SXC2251TG.0,66,14,5135.04,3.08,18.65,,21,18.65,16.65,52.98,16.65,,5,,,100,220,,,,,9,-57.99279000,-13.17798000,,
,BRTR BL25,22WNBPEYG6I1BL25,BL25,6I1,21ALL112YFA_MM,,UR271372403,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251TG.0,56,8,6959.52,3.91,25.63,,14,25.63,17.80,72.81,17.80,,5,,,,,,,,,9,-58.08683000,-12.80349000,,
,BRTR BL28,22WNBPEYG6I1BL28,BL28,6I1,21ALL112YFA_MM,,UR271366300,1,1001,2,33,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,,2.0,,,,,,3,,,,,,,,,,2.0000,,,SXC2251TG.0,47,32,7423.27,3.90,27.76,,68,27.76,19.05,78.86,19.05,,1,,,,,58,4/8/2022,4/7/2022,59,9,-55.17203000,-15.33561000,,
,BRTR BL32,22WNBPEYG6I1BL32,BL32,6I1,21ALL112YFA_MM,,UR271344941,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,1.0000,1.0,,,,,2,,,,,,,,,,,,,,SXC2251TG.0,64,,,,,,,,,,,,,,,,,,,,,9,-55.40972000,-15.87111000,,
,BRTR BL39,22WNBPEYG6I1BL39,BL39,6I1,21ALL112YFA_MM,,UR271347727,1,1001,2,1,28,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,1.0000,,,SXC2251TG.0,69,30,4057.11,4.16,13.61,,43,13.61,9.76,38.66,9.76,,5,,,142,255,,,,,9,-52.17083000,-13.60493000,,
,BRTR BL40,22WNBPEYG6I1BL40,BL40,6I1,21ALL112YFA_MM,,UR271354184,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,1.0000,,,SXC2251TG.0,69,,7257.45,4.15,26.63,,,26.63,17.50,75.65,17.50,,5,,,,,,,,,9,-51.75430000,-12.42000000,,
,BRTR BL48,22WNBPEYG6I1BL48,BL48,6I1,21ALL112YFA_MM,,UR271375863,1,1001,2,1,1,SXC2251TG.0,SXC2251TG.0,SXC2251TG.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251TG.0,63,,4025.30,3.44,13.80,,,13.80,11.70,39.20,11.70,,1,,,,,,,,,9,-52.21480000,-12.64750000,,
,BRTR BL01,22WNBPEYG6I1BL01,BL01,6I1,21ALL112YFB_MM,,UR271356839,1,1002,2,41,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,4.0,,,,,,,,,,,,,,,,,,,SXC2251ZL.0,74,10,11617.81,8.18,40.99,,14,40.99,14.20,116.45,14.20,,1,,,,,,,,,9,-55.50362000,-11.69889000,,
,BRTR BL06,22WNBPEYG6I1BL06,BL06,6I1,21ALL112YFB_MM,,UR271352724,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,1.0,,,,,,,,,,,,,,,,,3,,SXC2251ZL.0,,18,10988.40,6.02,40.69,,,40.69,18.25,115.60,18.25,,5,,,,,,,,,9,-55.84350000,-12.81547000,,
,BRTR BL10,22WNBPEYG6I1BL10,BL10,6I1,21ALL112YFB_MM,,UR271344775,1,1002,2,41,29,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,,3.0,,,,,,,,,,,,,,,,,,,SXC2251ZL.0,66,,9383.79,6.95,32.84,,,32.84,13.50,93.30,13.50,,1,,,,,56,3/22/2022,3/21/2022,57,9,-55.94174000,-12.98987000,,
,BRTR BL12,22WNBPEYG6I1BL12,BL12,6I1,21ALL112YFB_MM,,UR271374450,1,1002,2,9,29,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,1.0000,1.0,,,,,,1,,,,,,,,,,,,,SXC2251ZL.0,72,,7265.75,5.10,25.65,,,25.65,14.25,72.87,14.25,,5,,,130,250,,,,,9,-56.14570000,-13.31910000,,
,BRTR BL15,22WNBPEYG6I1BL15,BL15,6I1,21ALL112YFB_MM,,UR271366464,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,1.0,,,,,,,,,,,,,,,,1.0000,,,SXC2251ZL.0,76,11,10559.67,6.42,38.26,,15,38.26,16.45,108.69,16.45,,1,,,,,,,,,9,-56.19940000,-12.85330000,,
,BRTR BL16,22WNBPEYG6I1BL16,BL16,6I1,21ALL112YFB_MM,,UR271346179,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,3.0000,,,,,,,,,,,,,,,,,,,,SXC2251ZL.0,69,,10729.47,6.69,38.69,,,38.69,16.05,109.91,16.05,,1,,,,,,,,,9,-55.92769000,-13.23565000,,
,BRTR BL18,22WNBPEYG6I1BL18,BL18,6I1,21ALL112YFB_MM,,UR271367100,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251ZL.0,58,,9743.13,5.80,35.45,,,35.45,16.80,100.71,16.80,,5,,,115,240,,,,,9,-58.51884000,-13.59584000,,
,BRTR BL20,22WNBPEYG6I1BL20,BL20,6I1,21ALL112YFB_MM,,UR271353956,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,2.0000,,,,,,,,,,,,,,,,,,,,SXC2251ZL.0,68,9,,,37.85,,,,,,17.55,,1,,,,,,4/18/2022,4/17/2022,,9,-59.27241000,-13.73068000,,
,BRTR BL21,22WNBPEYG6I1BL21,BL21,6I1,21ALL112YFB_MM,,UR271346797,1,1002,2,9,2,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6I1,4.0000,1.0,,,,,,,,,,,,,,,,1.0000,,,SXC2251ZL.0,69,10,6738.96,4.04,24.49,,15,24.49,16.70,69.57,16.70,,1,,,110,220,,,,,9,-57.99279000,-13.17798000,,
