#,PSS:EXT:EXTID,PSS:BARCD,ABBRC,VHNM,PSS:REPNO,PSS:PLTID,VCRD,HCRD,Location Name,PLACD,PSS:COSTR,PSS:HELMR,PSS:LFSPR,PSS:SCBLR,PSS:NOTET
,21SUBPADISENBU22,UR271478620,MG580PWU,MG580PWU,1,1001,1,57,BRTR BU22 Rio Verde II,22F02,4,,,,
,21SUBPADISENBU22,UR271478619,30A37PWU,30A37PWU,1,1002,1,61,BRTR BU22 Rio Verde II,22F02,3,,,,
,21SUBPADISENBU22,UR271478618,SX7331ZS.2,SUPREMOVIP3,1,1003,1,65,BRTR BU22 Rio Verde II,22F02,5,,,,
,21SUBPADISENBU22,UR271478617,P30F53VYHR,P30F53VYHR,1,1004,1,69,BRTR BU22 Rio Verde II,22F02,7,,,,
,21SUBPADISENBU22,UR271478616,FORMULAWT.0,FORMULAVIP2,1,1005,1,73,BRTR BU22 Rio Verde II,22F02,7,,,,
,21SUBPADISENBU22,UR271478615,SX5885ZS.0,NK488VIP3,1,1006,1,77,BRTR BU22 Rio Verde II,22F02,7,,,,
,21SUBPADISENBU22,UR271478614,AG8700PRO3,AG8700PRO3,1,1007,1,81,BRTR BU22 Rio Verde II,22F02,7,,,,
,22WNBPEOB9K3BU22,UR271785936,SZE5130,SZE5130,1,1001,1,1,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEOB9K3BU22,UR271785935,P3898,P3898,1,1002,1,5,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEOB9K3BU22,UR271785934,SZF5459ZL.0,NK511VIP3,1,1003,1,9,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEOB9K3BU22,UR271785933,AS1868PRO3,AS1868PRO3,1,1004,1,13,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEOB9K3BU22,UR271785932,SW8015ZL.0,NS88VIP3,1,1005,1,17,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEOB9K3BU22,UR271785931,SXF258WT.0,NS95VIP2,1,1006,1,21,BRTR BU22 Rio Verde II,22F02,6,,,,
,22WNBPEOB9K3BU22,UR271785930,SXD3249ZL.0,NS75VIP3,1,1007,1,25,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEOB9K3BU22,UR271785929,SZF558ZL.0,SZF558ZL.0,1,1008,1,29,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEOB9K3BU22,UR271785928,DKB335PRO3,DKB335PRO3,1,1009,1,33,BRTR BU22 Rio Verde II,22F02,6,,,,
,22WNBPEOB9K3BU22,UR271785927,SXD228ZS.0,NK520VIP3,1,1010,1,37,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727701,SXC2251TG.0,SXC2251TG.0,1,1,2,57,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727700,SXC2251ZL.0,SXC2251ZL.0 B7T7T812ZS.4/WYFB133,1,2,2,65,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727699,B2401PWU,B2401PWU,1,3,2,73,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727698,MG580PWU,MG580PWU,1,4,2,81,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727697,DKB255PRO3,DKB255PRO3,1,5,2,89,BRTR BU22 Rio Verde II,22F02,6,,,,
,22WNBPEYG6K1BU22,UR271727696,B2620PWU,B2620PWU,1,6,3,89,BRTR BU22 Rio Verde II,22F02,5,,,,considerar linhascdacesquerdau
,22WNBPEYG6K1BU22,UR271727695,SZC4141ZL.0,SZC4141ZL.0,1,7,3,81,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727694,SYC7131ZL.0,SYC7131ZL.0,1,8,3,73,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727693,SZF6101ZL.0,SZF6101ZL.0,1,9,3,65,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727692,SZD5031ZL.0,SZD5031ZL.0,1,10,3,57,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727691,SZE6111ZL.0,SZE6111ZL.0,1,11,4,57,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727690,SZE6111TG.0,SZE6111TG.0,1,12,4,65,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727689,SZF6101WT.0,SZF6101WT.0,1,13,4,73,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727688,SXC2320VIP3,SXC2320ZS.0 B6T7T943ZS.2\1YHB35,1,14,4,81,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727687,SYC7510ZS.0,NK506VIP3,1,15,4,89,BRTR BU22 Rio Verde II,22F02,2,,,,plantas com baixo vigor
,22WNBPEYG6K1BU22,UR271727686,SXF258WT.0,NS95VIP2,1,16,5,89,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727685,SXD2621ZL.0,SXD2621ZL.0 WTP6741ZL.2/2SHB03,1,17,5,81,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727684,SYC7441ZL.0,SYC7441ZL.0,1,18,5,73,BRTR BU22 Rio Verde II,22F02,6,,,,
,22WNBPEYG6K1BU22,UR271727683,SYN555 VIP3,NK555VIP3,1,19,5,65,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727682,SYN555 VIP3,NK555VIP3,1,20,5,57,BRTR BU22 Rio Verde II,22F02,4,,,,linha inteira amassada
,22WNBPEYG6K1BU22,UR271727681,SZF5459ZL.0,NK511VIP3,1,21,6,57,BRTR BU22 Rio Verde II,22F02,3,,,,linhss da esquerda amassada
,22WNBPEYG6K1BU22,UR271727680,SZE5130,SZE5130,1,22,6,65,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727679,SW8015ZL.0,NS88VIP3,1,23,6,73,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727678,SXD3249ZL.0,NS75VIP3,1,24,6,81,BRTR BU22 Rio Verde II,22F02,5,,,,linhas amassadas
,22WNBPEYG6K1BU22,UR271727677,AG8700PRO3,AG8700PRO3,1,25,6,89,BRTR BU22 Rio Verde II,22F02,8,,,,
,22WNBPEYG6K1BU22,UR271727676,P3707VYH,P3707VYH,1,26,7,89,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727675,DKB360PRO3,DKB360PRO3,1,27,7,81,BRTR BU22 Rio Verde II,22F02,6,,,,considerar linhascdacesquerda
,22WNBPEYG6K1BU22,UR271727674,AS1820PRO3,AS1820PRO3,1,28,7,73,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727673,AS1868PRO3,AS1868PRO3,1,29,7,65,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727672,P3898,P3898,1,30,7,57,BRTR BU22 Rio Verde II,22F02,4,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727671,P3845VYHR,P3845VYHR,1,31,8,57,BRTR BU22 Rio Verde II,22F02,4,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727670,P3889RR,P3889RR,1,32,8,65,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727669,MG593PWU,MG593PWU,1,33,8,73,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727668,SZD5211ZL.0,SZD5211ZL.0,1,34,8,81,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727667,SZF558ZL.0,SZF558ZL.0,1,35,8,89,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727666,SYN7205ZS.0,STATUSVIP3,1,36,9,89,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727665,SXD228ZS.0,NK520VIP3,1,37,9,81,BRTR BU22 Rio Verde II,22F02,6,,,,considerar linhas da esquerda
,22WNBPEYG6K1BU22,UR271727664,NS90PRO2,NS90PRO2,1,38,9,73,BRTR BU22 Rio Verde II,22F02,1,,,,linhas amassadas
,22WNBPEYG6K1BU22,UR271727663,SXD218ZS.0,NS80VIP3,1,39,9,65,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727662,SZF558WT.0,NS91VIP2,1,40,9,57,BRTR BU22 Rio Verde II,22F02,5,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727661,MG652PWU,MG652PWU,1,41,10,57,BRTR BU22 Rio Verde II,22F02,2,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727660,AS1633PRO3,AS1633PRO3,1,42,10,65,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727659,DKB335PRO3,DKB335PRO3,1,43,10,73,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727658,K9606VIP3,K9606VIP3,1,44,10,81,BRTR BU22 Rio Verde II,22F02,6,,,,
,22WNBPEYG6K1BU22,UR271727657,SYN555 VIP3,NK555VIP3,1,45,10,89,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727656,MG652PWU,MG652PWU,2,46,11,89,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727655,SYN555 VIP3,NK555VIP3,2,47,11,81,BRTR BU22 Rio Verde II,22F02,4,,,,considerar linhas sa esquerda
,22WNBPEYG6K1BU22,UR271727654,NS90PRO2,NS90PRO2,2,48,11,73,BRTR BU22 Rio Verde II,22F02,1,,,,
,22WNBPEYG6K1BU22,UR271727653,SXD218ZS.0,NS80VIP3,2,49,11,65,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727652,SXD228ZS.0,NK520VIP3,2,50,11,57,BRTR BU22 Rio Verde II,22F02,4,,,,considerar kinhascda direita
,22WNBPEYG6K1BU22,UR271727651,SZD5211ZL.0,SZD5211ZL.0,2,51,12,57,BRTR BU22 Rio Verde II,22F02,4,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727650,SZF558ZL.0,SZF558ZL.0,2,52,12,65,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727649,SYN7205ZS.0,STATUSVIP3,2,53,12,73,BRTR BU22 Rio Verde II,22F02,4,,,,
,22WNBPEYG6K1BU22,UR271727648,AS1633PRO3,AS1633PRO3,2,54,12,81,BRTR BU22 Rio Verde II,22F02,4,,,,considerar linhas da esquerda
,22WNBPEYG6K1BU22,UR271727647,SZF558WT.0,NS91VIP2,2,55,12,89,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727646,DKB335PRO3,DKB335PRO3,2,56,13,89,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727645,K9606VIP3,K9606VIP3,2,57,13,81,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727644,B2401PWU,B2401PWU,2,58,13,73,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727643,B2620PWU,B2620PWU,2,59,13,65,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727642,MG580PWU,MG580PWU,2,60,13,57,BRTR BU22 Rio Verde II,22F02,3,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727641,SXC2251ZL.0,SXC2251ZL.0 B7T7T812ZS.4/WYFB133,2,61,14,57,BRTR BU22 Rio Verde II,22F02,3,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727640,SXC2251TG.0,SXC2251TG.0,2,62,14,65,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727639,DKB255PRO3,DKB255PRO3,2,63,14,73,BRTR BU22 Rio Verde II,22F02,5,,,,
,22WNBPEYG6K1BU22,UR271727638,SZF6101WT.0,SZF6101WT.0,2,64,14,81,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727637,SZE6111ZL.0,SZE6111ZL.0,2,65,14,89,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727636,SZC4141ZL.0,SZC4141ZL.0,2,66,15,89,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727635,SZE6111TG.0,SZE6111TG.0,2,67,15,81,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727634,SYC7441ZL.0,SYC7441ZL.0,2,68,15,73,BRTR BU22 Rio Verde II,22F02,6,,,,
,22WNBPEYG6K1BU22,UR271727633,P3707VYH,P3707VYH,2,69,15,65,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727632,SXC2320VIP3,SXC2320ZS.0 B6T7T943ZS.2\1YHB35,2,70,15,57,BRTR BU22 Rio Verde II,22F02,3,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727631,SYC7510ZS.0,NK506VIP3,2,71,16,57,BRTR BU22 Rio Verde II,22F02,3,,,,
,22WNBPEYG6K1BU22,UR271727630,SYC7131ZL.0,SYC7131ZL.0,2,72,16,65,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727629,SW8015ZL.0,NS88VIP3,2,73,16,73,BRTR BU22 Rio Verde II,22F02,4,,,,considerar linhas da direita
,22WNBPEYG6K1BU22,UR271727628,P3898,P3898,2,74,16,81,BRTR BU22 Rio Verde II,22F02,2,,,,
,22WNBPEYG6K1BU22,UR271727627,AS1868PRO3,AS1868PRO3,2,75,16,89,BRTR BU22 Rio Verde II,22F02,5,,,,
