#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
,BRTR BC33 Itaporã-MS,22WNACYGO4ABC33,BC33,O4A,21AC110019,,UR272416894,1,1102,41,52,102,LOYFB336/WTP6741ZL.2,AC21011317,,,22WNACYGO4A,,,,,,,,,,,,,,,,,,6.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC31 Astorga-PR,22WNACYGO4EBC31,BC31,O4E,22AC654098,,UR272461864,1,1102,87,100,102,2DEB35/WTT7030ZL.0;WTT7030ZL.1,AC22003970,,,22WNACYGO4E,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC33 Itaporã-MS,22WNACYGX4EBC33,BC33,X4E,21ALL112XX7_MM,,UR272426520,1,1102,59,84,102,DKB265PRO3,DKB265PRO3,DKB265PRO3,,22WNACYGX4E,,,,,,,,,,,,,,,,,,5.0000,,,DKB265PRO3,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC38 Rio Brilhante-MS,22WNACYG501BC38,BC38,501,21ALL11288L_MM,,UR271226360,1,1102,27,61,102,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,2,2,,,,,,,,,,3.0000,,,SX5885ZS.0,64,,,,,,,,,,,,1,,,135,240,,,,,12,-54.59348000,-21.77285000,
,BRTR BC06 Cascavel-PR,22WNACYG501BC06,BC06,501,21ALL11288L_MM,,UR271226152,1,1102,8,28,102,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,1.0000,,,,,,1,2,,,,,,,,,,2.0000,,,SX5885ZS.0,60,,,,,,,,,,,,1,,,,,,,,,12,-53.60597600,-25.00692000,
,BRTR BC31 Astorga-PR,22WNACYGM4FBC31,BC31,M4F,22AC651002,,UR272442406,1,1102,51,84,102,LOTTC570/8AHB80ZS.0,AC22001002,,,22WNACYGM4F,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC31 Astorga-PR,22WNACYGM4CBC31,BC31,M4C,22AC650016,,UR272442714,1,1102,25,100,102,ACTTC438ZL.0/1XHB39,AC22000016,,,22WNACYGM4C,,,,,,,,2,,,,,,,,,,4.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC02 Santa Helena-PR,22WNACYG501BC02,BC02,501,21ALL11288L_MM,,UR271229688,1,1102,4,132,518,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,,2,,,,,,,,,,,,,SX5885ZS.0,58,,,,,,,,,,,,1,,,,,,,,,12,-54.37937300,-24.93076300,
,BRTR BC33 Itaporã-MS,22WNACYGM4CBC33,BC33,M4C,22AC654192,,UR272456190,1,1102,34,21,102,BCTT241/B6X6X906ZL.2,AC22004064,,,22WNACYGM4C,,,,,,,,,,,,,,,,,,6.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC31 Astorga-PR,22WNACYGX4CBC31,BC31,X4C,21AC107140,,UR272423112,1,1102,80,113,102,LOTTB510ZL.0/1YHB35,AC21008442,,,22WNACYGX4C,,,,,,,,,,,,,,,,,,2.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC22 S.Seb.Amoreira-PR,22WNACYGM4FBC22,BC22,M4F,22AC652725,,UR272455394,1,1102,23,52,102,LOYFD930/B6T7T943ZS.2,AC22002725,,,22WNACYGM4F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,12,-50.76517000,-23.43976000,
,BRTR BC33 Itaporã-MS,22WNACYGM4EBC33,BC33,M4E,21ALL112YFM_MM,,UR272442834,1,1102,59,28,102,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNACYGM4E,,,,,,,,,,,,,,,,,,4.0000,,,SXD3249ZL.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC31 Astorga-PR,22WNACYGM4HBC31,BC31,M4H,22AC654168,,UR272442030,1,1102,69,68,102,ACTTD689/WYFB972,AC22004040,,,22WNACYGM4H,,,,,,,,2,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC33 Itaporã-MS,22WNACYGX4CBC33,BC33,X4C,22AC652261,,UR272453896,1,1102,37,100,102,ACTTE391/ACYFB848,AC22002261,,,22WNACYGX4C,,,,,,,,,,,,,,,,,,7.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
