#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XTY_MM,,UR271207494,1,0001,19,64,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SYA7470ZS.0,55,,,,,,,,,,,,1,,,120,225,64,4/13/2022,4/15/2022,62,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XTY_MM,,UR271207434,1,0001,17,56,1,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z4,,,,,,,5,,,,,,,,,,,3.0000,,,SYA7470ZS.0,60,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XTZ_MM,,UR271207433,1,0002,17,48,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SYC7209ZS.0,65,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XTZ_MM,,UR271207493,1,0002,19,56,2,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SYC7209ZS.0,63,,,,,,,,,,,,1,,,125,240,63,4/13/2022,4/14/2022,62,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU1_MM,,UR271207492,1,0003,19,48,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SYA7560ZS.0,55,,,,,,,,,,,,1,,,120,225,64,4/14/2022,4/15/2022,63,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU1_MM,,UR271207432,1,0003,17,40,3,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SYA7560ZS.0,59,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU2_MM,,UR271207431,1,0004,17,32,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXE3279ZL.0,60,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU2_MM,,UR271207491,1,0004,19,40,4,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXE3279ZL.0,63,,,,,,,,,,,,1,,,120,230,60,4/9/2022,4/11/2022,58,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU3_MM,,UR271207430,1,0005,17,24,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXC1510ZS.0,61,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU3_MM,,UR271207490,1,0005,19,32,5,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,5.0000,,,SXC1510ZS.0,61,,,,,,,,,,,,1,,,110,220,60,4/11/2022,4/11/2022,60,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU4_MM,,UR271207489,1,0006,19,24,6,SZD537ZL.0,SZD537ZL.0,SZD537ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SZD537ZL.0 SYN,61,,,,,,,,,,,,1,,,135,245,62,4/12/2022,4/13/2022,61,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU4_MM,,UR271207429,1,0006,17,16,6,SZD537ZL.0,SZD537ZL.0,SZD537ZL.0,,22WNBPEYG8Z4,,,,,,,3,,,,,,,,,,,2.0000,,,SZD537ZL.0 SYN,56,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU5_MM,,UR271207488,1,0007,19,16,7,SXD2350ZS.0,SXD2350ZS.0 B6T7T943ZS.2\LOYFB356,SXD2350ZS.0 B6T7T943ZS.2\LOYFB356,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SXD2350ZS.0,61,,,,,,,,,,,,1,,,120,235,60,4/11/2022,4/11/2022,60,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU5_MM,,UR271207428,1,0007,17,8,7,SXD2350ZS.0,SXD2350ZS.0 B6T7T943ZS.2\LOYFB356,SXD2350ZS.0 B6T7T943ZS.2\LOYFB356,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SXD2350ZS.0,68,,,,,,,,,,,,5,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU6_MM,,UR271207487,1,0008,19,8,8,SZ7634ZS.0,SZ7634ZS.0,SZ7634ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SZ7634ZS.0 SYN,58,,,,,,,,,,,,1,,,140,250,60,4/11/2022,4/11/2022,60,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU6_MM,,UR271207427,1,0008,18,1,8,SZ7634ZS.0,SZ7634ZS.0,SZ7634ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SZ7634ZS.0 SYN,63,,,,,,,,,,,,5,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112ZPJ_MM,,UR271207426,1,0009,18,9,9,SXB178ZL.0,SXB178ZL.0  B6T7T943ZS.2/LFX6887,SXB178ZL.0  B6T7T943ZS.2/LFX6887,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXB178ZL.0,60,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112ZPJ_MM,,UR271207486,1,0009,20,1,9,SXB178ZL.0,SXB178ZL.0  B6T7T943ZS.2/LFX6887,SXB178ZL.0  B6T7T943ZS.2/LFX6887,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SXB178ZL.0,64,,,,,,,,,,,,1,,,105,250,59,4/9/2022,4/10/2022,58,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL113563_MM,,UR271207425,1,0010,18,17,10,SW8014ZS.2,SW8014ZS.2  B6T7T943ZS/WYX7011,SW8014ZS.2  B6T7T943ZS/WYX7011,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SW8014ZS.2,60,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL113563_MM,,UR271207485,1,0010,20,9,10,SW8014ZS.2,SW8014ZS.2  B6T7T943ZS/WYX7011,SW8014ZS.2  B6T7T943ZS/WYX7011,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SW8014ZS.2,64,,,,,,,,,,,,1,,,135,235,59,4/10/2022,4/10/2022,59,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU1_MM,,UR271207424,2,0011,18,25,11,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,1.0000,,,SYA7560ZS.0,59,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU4_MM,,UR271207484,2,0011,20,17,11,SZD537ZL.0,SZD537ZL.0,SZD537ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SZD537ZL.0 SYN,59,,,,,,,,,,,,1,,,120,240,,,,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU1_MM,,UR271207483,2,0012,20,25,12,SYA7560ZS.0,SYA7560ZS.0,SYA7560ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SYA7560ZS.0,63,,,,,,,,,,,,1,,,110,230,,,,,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU2_MM,,UR271207423,2,0012,18,33,12,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXE3279ZL.0,61,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU5_MM,,UR271207422,2,0013,18,41,13,SXD2350ZS.0,SXD2350ZS.0 B6T7T943ZS.2\LOYFB356,SXD2350ZS.0 B6T7T943ZS.2\LOYFB356,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SXD2350ZS.0,60,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XTZ_MM,,UR271207482,2,0013,20,33,13,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SYC7209ZS.0,64,,,,,,,,,,,,1,,,115,230,,,,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU5_MM,,UR271207481,2,0014,20,41,14,SXD2350ZS.0,SXD2350ZS.0 B6T7T943ZS.2\LOYFB356,SXD2350ZS.0 B6T7T943ZS.2\LOYFB356,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SXD2350ZS.0,58,,,,,,,,,,,,1,,,110,240,,,,,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU3_MM,,UR271207421,2,0014,18,49,14,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SXC1510ZS.0,58,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XTZ_MM,,UR271207420,2,0015,18,57,15,SYC7209ZS.0,SYC7209ZS.0,SYC7209ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SYC7209ZS.0,64,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU6_MM,,UR271207480,2,0015,20,49,15,SZ7634ZS.0,SZ7634ZS.0,SZ7634ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SZ7634ZS.0 SYN,61,,,,,,,,,,,,1,,,130,250,,,,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XTY_MM,,UR271207479,2,0016,20,57,16,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SYA7470ZS.0,58,,,,,,,,,,,,1,,,110,235,,,,,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU4_MM,,UR271207419,2,0016,18,65,16,SZD537ZL.0,SZD537ZL.0,SZD537ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,2.0000,,,SZD537ZL.0 SYN,61,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU2_MM,,UR271207478,2,0017,20,65,17,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SXE3279ZL.0,60,,,,,,,,,,,,1,,,120,240,,,,,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112ZPJ_MM,,UR271207418,2,0017,18,73,17,SXB178ZL.0,SXB178ZL.0  B6T7T943ZS.2/LFX6887,SXB178ZL.0  B6T7T943ZS.2/LFX6887,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXB178ZL.0,59,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL113563_MM,,UR271207417,2,0018,19,80,18,SW8014ZS.2,SW8014ZS.2  B6T7T943ZS/WYX7011,SW8014ZS.2  B6T7T943ZS/WYX7011,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SW8014ZS.2,57,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL113563_MM,,UR271207477,2,0018,21,72,18,SW8014ZS.2,SW8014ZS.2  B6T7T943ZS/WYX7011,SW8014ZS.2  B6T7T943ZS/WYX7011,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SW8014ZS.2,64,,,,,,,,,,,,1,,,135,240,,,,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112XU3_MM,,UR271207476,2,0019,21,64,19,SXC1510ZS.0,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,SXC1510ZS.0 B7T7T812ZS.4\8XHB78,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXC1510ZS.0,61,,,,,,,,,,,,1,,,140,245,,,,,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XTY_MM,,UR271207416,2,0019,19,72,19,SYA7470ZS.0,SYA7470ZS.0,SYA7470ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SYA7470ZS.0,59,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG8Z4BC07,BC07,8Z4,21ALL112XU6_MM,,UR271207415,2,0020,19,64,20,SZ7634ZS.0,SZ7634ZS.0,SZ7634ZS.0,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,3.0000,,,SZ7634ZS.0 SYN,60,,,,,,,,,,,,1,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNBPEYG8Z4BC08,BC08,8Z4,21ALL112ZPJ_MM,,UR271207475,2,0020,21,56,20,SXB178ZL.0,SXB178ZL.0  B6T7T943ZS.2/LFX6887,SXB178ZL.0  B6T7T943ZS.2/LFX6887,,22WNBPEYG8Z4,,,,,,,,,,,,,,,,,,4.0000,,,SXB178ZL.0,63,,,,,,,,,,,,5,,,130,245,,,,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGO4GBC08,BC08,O4G,21ALL112XX7_MM,,UR272451115,1,1001,2,569,1,DKB265PRO3,DKB265PRO3,DKB265PRO3,,22WNACYGO4G,,,,,,,,,,,,,,,,,,,,,DKB265PRO3,,,,,,,,,,,,,1,,,90,210,,4/5/2022,4/5/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4HBC08,BC08,M4H,21ALL112XXK_MM,,UR272448541,1,1001,40,529,1,MG580PWU,MG580PWU,MG580PWU,,22WNACYGM4H,,,,,,,,,,,,,,,,,,,,,MG580PWU,,,,,,,,,,,,,1,,,115,220,,4/10/2022,4/9/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4ABC08,BC08,M4A,21ALL112YFG_MM,,UR272457329,1,1001,29,488,1,SXD218ZS.0,NS80VIP3,NS80VIP3,,22WNACYGM4A,,,,,,,,,,,,,,,,,,,,,SXD218ZS.0,,,,,,,,,,,,,1,,,115,240,,4/10/2022,4/10/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4FBC08,BC08,M4F,22AC651632,,UR272445625,1,1001,14,545,1,WTX7040ZL.3/ACFXB447,AC22001632,,,22WNACYGM4F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,105,210,,4/11/2022,4/11/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGO4CBC08,BC08,O4C,20LO000165,,UR272435619,1,1001,42,593,1,WTX7330/1YHB35,LO20000166,,,22WNACYGO4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,120,225,,4/11/2022,4/10/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGO4EBC08,BC08,O4E,22AC651377,,UR272454871,1,1001,20,609,1,WTTC674ZL.0;WTTC674ZL.2;WTTC674ZL.3/8XHB78,AC22001378,,,22WNACYGO4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,140,245,,4/10/2022,4/12/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYG501BC08,BC08,501,21ALL112XXK_MM,,UR271228957,1,1001,21,1,1,MG580PWU,MG580PWU,MG580PWU,,22WNACYG501,,,,,,,,,,,,,,,,,,,,,MG580PWU,52,,,,,,,,,,,,5,,,120,220,,4/10/2022,4/10/2022,,12,-53.78812800,-24.66647000,
,BRTR BC07 Vera C. Oeste - PR,22WNBPEYG6L1BC07,BC07,6L1,21ALL112XX7_MM,,UR271091921,1,1001,2,1,37,DKB265PRO3,DKB265PRO3,DKB265PRO3,,22WNBPEYG6L1,,,,,,,,,,,,,,,,,,4.0000,,,DKB265PRO3,55,,,,,,,,,,,,5,,,,,,,,,12,-53.97696000,-25.14626000,
,BRTR BC08 Toledo-PR,22WNACYGX4CBC08,BC08,X4C,21ALL112YFG_MM,,UR272431599,1,1001,2,377,1,SXD218ZS.0,NS80VIP3,NS80VIP3,,22WNACYGX4C,,,,,,,,,,,,,,,,,,,,,SXD218ZS.0,,,,,,,,,,,,,1,,,125,230,,4/11/2022,4/11/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGX4EBC08,BC08,X4E,22AC651194,,UR272436189,1,1001,47,640,1,ACTTE391/8CEB55,AC22001194,,,22WNACYGX4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,115,210,,4/10/2022,4/11/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGX4ABC08,BC08,X4A,21AC100209,,UR272443891,1,1001,30,625,1,LOTTC226/8XHB86ZS.0,AC21001454,,,22WNACYGX4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,125,205,,4/9/2022,4/9/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4CBC08,BC08,M4C,22AC651255,,UR272450811,1,1001,2,409,1,ACTTC438ZL.0/8XHB78,AC22001255,,,22WNACYGM4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,115,215,,4/11/2022,4/12/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4IBC08,BC08,M4I,21ALL112YFM_MM,,UR272424887,1,1001,12,441,1,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNACYGM4I,,,,,,,,,,,,,,,,,,,,,SXD3249ZL.0,,,,,,,,,,,,,1,,,110,230,,4/9/2022,4/9/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4DBC08,BC08,M4D,21ALL112YEX_MM,,UR272420869,1,1001,2,529,1,SX6003ZS.0,NK422VIP3,NK422VIP3,,22WNACYGM4D,,,,,,,,,,,,,,,,,,,,,SX6003ZS.0,,,,,,,,,,,,,1,,,100,225,,4/9/2022,4/10/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG6L1BC08,BC08,6L1,21ALL112XX7_MM,,UR271090544,1,1001,2,1,1,DKB265PRO3,DKB265PRO3,DKB265PRO3,,22WNBPEYG6L1,,,,,,,,,,,,,,,,,,6.0000,,,DKB265PRO3,55,,,,,,,,,,,,1,,,90,200,55,4/6/2022,4/6/2022,55,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4EBC08,BC08,M4E,22AC654021,,UR272457105,1,1001,2,441,1,B6T7T943ZS.2/LOFF8370,AC22003180,,,22WNACYGM4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,125,230,,4/5/2022,4/5/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGO4ABC08,BC08,O4A,21ALL112XX6_MM,,UR272448887,1,1001,20,585,1,DKB255PRO3,DKB255PRO3,DKB255PRO3,,22WNACYGO4A,,,,,,,,,,,,,,,,,,,,,DKB255PRO3,,,,,,,,,,,,,1,,,120,225,,4/6/2022,4/6/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4HBC08,BC08,M4H,22AC654151,,UR272448540,1,1002,40,533,2,LOTTE550ZL.0/ACYFC487,AC22004023,,,22WNACYGM4H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,115,235,,4/8/2022,4/8/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4EBC08,BC08,M4E,22AC653983,,UR272457104,1,1002,2,445,2,B6T7T943ZS.2/ACFF8021,AC22001713,,,22WNACYGM4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,110,250,,4/5/2022,4/5/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGO4GBC08,BC08,O4G,21ALL112YFM_MM,,UR272451114,1,1002,2,573,2,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNACYGO4G,,,,,,,,,,,,,,,,,,,,,SXD3249ZL.0,,,,,,,,,,,,,1,,,110,225,,4/9/2022,4/10/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4ABC08,BC08,M4A,21ALL112YFG_MM,,UR272457328,1,1002,29,484,2,SXD218ZS.0,NS80VIP3,NS80VIP3,,22WNACYGM4A,,,,,,,,,,,,,,,,,,,,,SXD218ZS.0,,,,,,,,,,,,,5,,,115,230,,4/10/2022,4/12/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNBPEYG6L1BC08,BC08,6L1,21ALL112XXK_MM,,UR271090543,1,1002,2,9,2,MG580PWU,MG580PWU,MG580PWU,,22WNBPEYG6L1,,,,,,,,,,,,,,,,,,6.0000,,,MG580PWU,52,,,,,,,,,,,,1,,,105,190,59,4/10/2022,4/10/2022,59,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4DBC08,BC08,M4D,21ALL112YEX_MM,,UR272420868,1,1002,2,533,2,SX6003ZS.0,NK422VIP3,NK422VIP3,,22WNACYGM4D,,,,,,,,,,,,,,,,,,,,,SX6003ZS.0,,,,,,,,,,,,,9,,,110,235,,4/11/2022,4/11/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGM4FBC08,BC08,M4F,22AC652253,,UR272445624,1,1002,14,549,2,ACTTE321ZL.0/ACYFB848,AC22002253,,,22WNACYGM4F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,125,255,,4/8/2022,4/10/2022,,12,-53.78812800,-24.66647000,
,BRTR BC08 Toledo-PR,22WNACYGO4ABC08,BC08,O4A,21AC110070,,UR272448886,1,1002,20,589,2,WYXC202/WTP6741ZL.2,AC21011368,,,22WNACYGO4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,115,235,,4/9/2022,4/9/2022,,12,-53.78812800,-24.66647000,
