#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK,PSS:VSCIN
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFJ_MM,,UR271682488,1,0023,11,17,23,SXD2621ZL.0,SXD2621ZL.0 WTP6741ZL.2/2SHB03,SXD2621ZL.0 WTP6741ZL.2/2SHB03,,22WNBPEYG6J1,,2.0,,,,,,,,,,,,,,,,2.0000,,,SXD2621ZL.0,73,,,,18.85,,,,,,23.05,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFJ_MM,,UR271682414,2,0097,26,32,97,SXD2621ZL.0,SXD2621ZL.0 WTP6741ZL.2/2SHB03,SXD2621ZL.0 WTP6741ZL.2/2SHB03,,22WNBPEYG6J1,,4.0,,,,,,,,,,,,,,,,3.0000,,,SXD2621ZL.0,,,,,19.56,,,,,,21.95,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFJ_MM,,UR271682354,3,0157,38,32,157,SXD2621ZL.0,SXD2621ZL.0 WTP6741ZL.2/2SHB03,SXD2621ZL.0 WTP6741ZL.2/2SHB03,,22WNBPEYG6J1,,3.0,,,,,,,,,,,,,,,,3.0000,,,SXD2621ZL.0,,,,,15.50,,,,,,20.15,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFC_MM,,UR271682487,1,0024,11,25,24,SXC2320VIP3,NK503VIP3,NK503VIP3,,22WNBPEYG6J1,,1.0,,1,,,2,,,,,,,,,,,3.0000,,,SXC2320ZS.0,69,,,,17.76,,,,,,20.10,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFC_MM,,UR271682412,2,0099,26,16,99,SXC2320VIP3,NK503VIP3,NK503VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,2.0000,,,SXC2320ZS.0,,,,,14.85,,,,,,19.05,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFC_MM,,UR271682361,3,0150,36,8,150,SXC2320VIP3,NK503VIP3,NK503VIP3,,22WNBPEYG6J1,,,,,,,2,,,,,,,,,,,3.0000,,,SXC2320ZS.0,,,,,16.23,,,,,,17.40,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEV_MM,,UR271682486,1,0025,11,33,25,SW8015ZL.0,NS88VIP3,NS88VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SW8015ZL.0,75,,,,19.87,,,,,,22.85,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEV_MM,,UR271682409,2,0102,27,9,102,SW8015ZL.0,NS88VIP3,NS88VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,2.0000,,,SW8015ZL.0,,,,,15.71,,,,,,20.55,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEV_MM,,UR271682352,3,0159,38,16,159,SW8015ZL.0,NS88VIP3,NS88VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SW8015ZL.0,,,,,18.66,,,,,,18.15,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFP_MM,,UR271682485,1,0026,12,40,26,SXF258WT.0,NS95VIP2,NS95VIP2,,22WNBPEYG6J1,,4.0,,,,,,,,,,,,,,,,3.0000,,,SXF258WT.0,64,,,,18.22,,,,,,21.75,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
